index,Nr,Rūšis,Vieta,Pagavimo_data,Lytis,Q(g.),L(mm),Luo(mm),P(mm),A(mm),Amžius,Pastabos,RatPyV1,RatPyV2
11,R132,R.rattus,"Zarasų raj., Pakniškių km.",2015.08.26,mot.,73.0,130.0,158.0,33.0,18.0,sub.,"Tvartas, laikomos vištos",Ne,Ne
12,R133,R.rattus,"Zarasų raj., Pakniškių km.",2015.08.26,mot.,35.0,105.0,127.0,28.0,15.0,juv.,"Tvartas, laikomos vištos",Ne,Ne
34,R155,R.rattus,"Zarasų raj., Pakniškių km.",2014.11.05,mot.,67.0,137.0,149.0,34.0,18.0,juv.,"Tvartas, laikomos vištos",Ne,Ne
36,R157,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.02,mot.,86.0,158.0,187.0,34.0,18.0,sub.,Gyvenamasis namas,Ne,Ne
37,R158,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.02,mot.,55.0,124.0,146.0,32.0,17.0,juv.,Gyvenamasis namas,Ne,Ne
38,R159,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.02,vyr.,79.0,140.0,170.0,33.0,21.0,juv.,Gyvenamasis namas,Ne,Ne
39,R160,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.03,mot.,35.0,115.0,128.0,28.0,16.0,juv.,Gyvenamasis namas,Ne,Ne
40,R161,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.03,vyr.,32.0,110.0,121.0,29.0,17.0,juv.,Gyvenamasis namas,Ne,Taip
41,R162,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.12,mot.,35.0,113.0,127.0,29.0,16.0,juv.,"Tvartas, laikomos vištos",Ne,Ne
42,R163,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.12,mot.,21.0,88.0,101.0,23.0,15.0,juv.,"Tvartas, laikomos vištos",Ne,Ne
43,R164,R.rattus,"Zarasų raj., Pakniškių km.",2015.10.13,mot.,111.0,178.61099040068774,202.0,38.0,18.0,ad.,"Tvartas, laikomos vištos",Ne,Ne
